school,DBN,district,lat,long,address,City,zip,commSchool,eni,income,pctELL,pctAsian,pctBlack,pctHispanic,pctBlackHispanic,pctWhite,pctAttend,pctAbsentChronic,pctRigor,ratingRigor,pctCollab,ratingCollab,pctSupp,ratingSupp,pctLeader,ratingLeader,pctCommunity,ratingCommunity,pctTrust,ratingTrust,Student Achievement Rating,avgELA,avgMath,elaAll,elaAll4,elaBlack,elaHispanic,elaAsian,elaWhite,mathAll,mathAll4,mathBlack,mathHispanic,mathAsian,mathWhite,enroll,registered,took,regPct,tookPct,yield,academicScore,quantRigor,quantCollab,quantSupp,quantLeader,quantCommunity,quantTrust,pctELA4,pctELABlack,pctELAHispanic,pctELAAsian,pctELAWhite,pctMath4,pctMathBlack,pctMathHispanic,pctMathAsian,pctMathWhite,URM4
P.S. 043 JONAS BRONCK,07X043,7,40.806419,-73.921424,"165 BROWN PL BRONX, NY 10454",BRONX,10454,No,0.91,20902.4,0.09,0,0.27,0.71,0.98,0.01,0.91,0.33,0.89,Approaching Target,0.95,Meeting Target,0.9,Meeting Target,0.84,Meeting Target,0.86,Meeting Target,0.96,Exceeding Target,Exceeding Target,2.29,2.46,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.75,2,3,3,3,3,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 049 WILLIS AVENUE,07X049,7,40.810342,-73.922626,"383 E 139TH ST BRONX, NY 10454",BRONX,10454,No,0.924,22392.38,0.16,0,0.29,0.68,0.98,0.01,0.92,0.3,0.87,Approaching Target,0.83,Meeting Target,0.81,Approaching Target,0.74,Approaching Target,0.83,Approaching Target,0.85,Meeting Target,Meeting Target,2.19,2.45,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.640000000000001,2,3,2,2,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 065 MOTHER HALE ACADEMY,07X065,7,40.807731,-73.912768,"677 E 141ST ST BRONX, NY 10454",BRONX,10454,No,0.957,22507.91,0.12,0.03,0.32,0.64,0.96,0.01,0.89,0.48,0.92,Meeting Target,0.88,Meeting Target,0.88,Approaching Target,0.82,Meeting Target,0.84,Approaching Target,0.91,Meeting Target,Approaching Target,2.06,2.12,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.18,3,3,2,3,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
J.H.S. 151 LOU GEHRIG,07X151,7,40.822539,-73.921487,"250 E 156TH ST BRONX, NY 10451",BRONX,10451,No,0.89,NA,0.34,0.01,0.28,0.69,0.98,0.01,0.92,0.29,0.88,Meeting Target,0.9,Meeting Target,0.85,Meeting Target,0.78,Approaching Target,0.8,Meeting Target,0.9,Meeting Target,Meeting Target,2.1,1.98,89,3,0,2,0,0,98,2,0,2,0,0,NA,NA,NA,NA,NA,NA,4.08,3,3,3,2,3,3,0.033707865168539325,0,0.6666666666666666,0,0,1,0,1,0,0,4
P.S. 154 JONATHAN D. HYATT,07X154,7,40.808255,-73.925748,"333 E 135TH ST BRONX, NY 10454",BRONX,10454,Yes,0.912,18984.33,0.1,0,0.4,0.57,0.97,0.01,0.93,0.25,0.93,Meeting Target,0.95,Meeting Target,0.92,Exceeding Target,0.91,Exceeding Target,0.84,Meeting Target,0.96,Exceeding Target,Meeting Target,2.29,2.33,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.62,3,3,4,4,3,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 157 GROVE HILL,07X157,7,40.819262,-73.909065,"757 CAULDWELL AVE BRONX, NY 10456",BRONX,10456,No,0.879,26508.27,0.09,0,0.3,0.69,0.99,0,0.9,0.41,0.92,Exceeding Target,0.91,Exceeding Target,0.93,Meeting Target,0.8,Meeting Target,0.82,Approaching Target,0.92,Meeting Target,Meeting Target,2.32,2.41,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.73,4,4,3,3,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 161 JUAN PONCE DE LEON SCHOOL,07X161,7,40.814507,-73.905159,"628 TINTON AVE BRONX, NY 10455",BRONX,10455,No,0.906,25153.14,0.19,0.01,0.23,0.73,0.96,0.02,0.91,0.37,0.9,Approaching Target,0.87,Meeting Target,0.91,Meeting Target,0.71,Approaching Target,0.79,Approaching Target,0.86,Meeting Target,Meeting Target,2.33,2.48,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.8100000000000005,2,3,3,2,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
J.H.S. 162 LOLA RODRIGUEZ DE TIO,07X162,7,40.814702,-73.912036,"600 ST ANNS AVE BRONX, NY 10455",BRONX,10455,Yes,0.906,NA,0.24,0.01,0.29,0.7,0.99,0.01,0.89,0.39,0.92,Meeting Target,0.93,Meeting Target,0.85,Meeting Target,0.88,Meeting Target,0.82,Meeting Target,0.93,Meeting Target,Approaching Target,2.04,1.96,112,2,0,2,0,0,117,2,0,1,0,0,NA,NA,NA,NA,NA,NA,4,3,3,3,3,3,3,0.017857142857142856,0,1,0,0,1,0,0.5,0,0,3
P.S. 179,07X179,7,40.809216,-73.920032,"468 E 140TH ST BRONX, NY 10454",BRONX,10454,No,0.899,23737.32,0.3,0.01,0.15,0.83,0.98,0,0.92,0.33,0.94,Meeting Target,0.92,Meeting Target,0.9,Meeting Target,0.83,Meeting Target,0.85,Meeting Target,0.96,Exceeding Target,Meeting Target,2.31,2.35,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.66,3,3,3,3,3,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,07X221,7,40.813507,-73.920477,"360 E 145TH ST BRONX, NY 10454",BRONX,10454,No,0.872,NA,0.08,0.01,0.24,0.72,0.96,0.02,0.93,0.21,0.89,Exceeding Target,0.92,Exceeding Target,0.89,Exceeding Target,0.87,Meeting Target,0.74,Approaching Target,0.91,Meeting Target,Meeting Target,2.25,2.39,98,6,0,5,0,0,98,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.640000000000001,4,4,4,3,2,3,0.061224489795918366,0,0.8333333333333334,0,0,NaN,NaN,NaN,NaN,NaN,5
M.S. 223 THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY,07X223,7,40.813507,-73.920477,"360 E 145TH ST BRONX, NY 10454",BRONX,10454,No,0.866,NA,0.09,0,0.2,0.79,0.99,0.01,0.95,0.12,0.84,Meeting Target,0.76,Meeting Target,0.85,Exceeding Target,0.71,Approaching Target,0.75,Approaching Target,0.82,Approaching Target,Meeting Target,2.62,2.68,92,3,0,3,0,0,92,15,0,12,0,0,NA,NA,NA,NA,NA,NA,5.300000000000001,3,3,4,2,2,2,0.03260869565217391,0,1,0,0,1,0,0.8,0,0,15
P.S./I.S. 224,07X224,7,40.810207,-73.91839,"345 BROOK AVE BRONX, NY 10454",BRONX,10454,No,0.903,NA,0.26,0,0.25,0.74,0.98,0.01,0.9,0.35,0.87,Meeting Target,0.87,Meeting Target,0.81,Meeting Target,0.8,Approaching Target,0.79,Approaching Target,0.88,Meeting Target,Meeting Target,2.18,2.13,108,2,0,0,0,0,113,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.3100000000000005,3,3,3,2,2,3,0.018518518518518517,0,0,0,0,NaN,NaN,NaN,NaN,NaN,0
P.S. 277,07X277,7,40.813307,-73.913837,"519 ST ANNS AVE BRONX, NY 10454",BRONX,10454,No,0.928,22649.64,0.16,0,0.23,0.74,0.97,0.01,0.93,0.22,0.9,Meeting Target,0.9,Exceeding Target,0.89,Exceeding Target,0.84,Meeting Target,0.87,Meeting Target,0.93,Exceeding Target,Meeting Target,2.28,2.64,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.92,3,4,4,3,3,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
SOUTH BRONX ACADEMY FOR APPLIED MEDIA,07X296,7,40.818906,-73.905333,"778 FOREST AVE BRONX, NY 10456",BRONX,10456,No,0.908,NA,0.13,0.01,0.34,0.63,0.97,0.01,0.89,0.38,0.78,Approaching Target,0.75,Approaching Target,0.82,Approaching Target,0.71,Approaching Target,0.71,Not Meeting Target,0.83,Approaching Target,Approaching Target,2.13,2.04,109,1,0,1,0,0,109,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.17,2,2,2,2,1,2,0.009174311926605505,0,1,0,0,NaN,NaN,NaN,NaN,NaN,1
ACADEMY OF PUBLIC RELATIONS,07X298,7,40.818906,-73.905333,"778 FOREST AVE BRONX, NY 10456",BRONX,10456,No,0.882,NA,0.23,0,0.26,0.72,0.98,0.01,0.9,0.37,0.82,Meeting Target,0.92,Meeting Target,0.75,Approaching Target,0.92,Exceeding Target,0.75,Approaching Target,0.91,Meeting Target,Meeting Target,2.14,1.97,115,4,0,2,0,0,93,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.11,3,3,2,4,2,3,0.034782608695652174,0,0.5,0,0,NaN,NaN,NaN,NaN,NaN,2
ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,07X343,7,40.810207,-73.91839,"345 BROOK AVE BRONX, NY 10454",BRONX,10454,No,0.885,NA,0.1,0.01,0.26,0.72,0.99,0.01,0.92,0.29,0.9,Meeting Target,0.88,Meeting Target,0.87,Meeting Target,0.88,Meeting Target,0.79,Meeting Target,0.91,Meeting Target,Exceeding Target,2.36,2.72,95,12,0,11,0,0,66,1,0,0,0,0,NA,NA,NA,NA,NA,NA,5.08,3,3,3,3,3,3,0.12631578947368421,0,0.9166666666666666,0,0,1,0,0,0,0,11
CONCOURSE VILLAGE ELEMENTARY SCHOOL,07X359,7,40.823009,-73.92284,"750 CONCOURSE VILLAGE W BRONX, NY 10451",BRONX,10451,No,0.897,28756.98,0.23,0,0.33,0.62,0.95,0.03,0.92,0.32,1,N/A,1,N/A,0.99,N/A,0.98,N/A,0.91,N/A,0.99,N/A,N/A,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
YOUNG LEADERS ELEMENTARY SCHOOL,07X369,7,40.809216,-73.920032,"468 E 140TH ST BRONX, NY 10454",BRONX,10454,No,0.923,23020.7,0.47,0,0.18,0.81,0.99,0.01,0.92,0.3,0.75,Not Meeting Target,0.86,Meeting Target,0.83,Approaching Target,0.81,Meeting Target,0.88,Meeting Target,0.9,Meeting Target,Approaching Target,1.97,2.04,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.01,1,3,2,3,3,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
HOSTOS-LINCOLN ACADEMY OF SCIENCE,07X500,7,40.814702,-73.912036,"600 ST ANNS AVE BRONX, NY 10455",BRONX,10455,No,0.799,NA,0.05,0.03,0.18,0.76,0.94,0.01,0.93,0.21,0.83,Approaching Target,0.79,Approaching Target,0.76,Approaching Target,0.71,Approaching Target,0.77,Meeting Target,0.86,Meeting Target,Approaching Target,2.26,2.19,57,3,0,2,0,0,44,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.449999999999999,2,2,2,2,3,3,0.05263157894736842,0,0.6666666666666666,0,0,NaN,NaN,NaN,NaN,NaN,2
THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS,07X551,7,40.81366,-73.925999,"339 MORRIS AVE BRONX, NY 10451",BRONX,10451,No,0.882,NA,0.14,0.01,0.3,0.67,0.97,0.02,0.9,0.33,0.8,Approaching Target,0.79,Approaching Target,0.76,Meeting Target,0.72,Approaching Target,0.77,Approaching Target,0.83,Approaching Target,Approaching Target,2.08,2.06,90,1,0,0,0,0,90,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.140000000000001,2,2,3,2,2,2,0.011111111111111112,0,0,0,0,NaN,NaN,NaN,NaN,NaN,0
P.S. X014 SENATOR JOHN CALANDRA,08X014,8,40.835535,-73.825861,"3041 BRUCKNER BLVD BRONX, NY 10461",BRONX,10461,No,0.498,66619.65,0.05,0.04,0.06,0.65,0.71,0.24,0.93,0.22,0.94,Meeting Target,0.96,Exceeding Target,0.98,Exceeding Target,0.91,Exceeding Target,0.84,Meeting Target,0.97,Exceeding Target,Meeting Target,2.61,2.8,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5.41,3,4,4,4,3,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 036 UNIONPORT,08X036,8,40.829446,-73.849749,"1070 CASTLE HILL AVE BRONX, NY 10472",BRONX,10472,No,0.779,39933.44,0.16,0.19,0.11,0.64,0.76,0.03,0.93,0.24,0.94,Meeting Target,0.95,Meeting Target,0.96,Meeting Target,0.86,Meeting Target,0.87,Meeting Target,0.96,Exceeding Target,Exceeding Target,2.6,2.73,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5.33,3,3,3,3,3,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 048 JOSEPH R. DRAKE,08X048,8,40.814228,-73.886889,"1290 SPOFFORD AVE BRONX, NY 10474",BRONX,10474,No,0.922,27859.91,0.18,0.01,0.26,0.71,0.97,0.01,0.92,0.31,0.88,Meeting Target,0.84,Meeting Target,0.86,Meeting Target,0.68,Approaching Target,0.77,Not Meeting Target,0.84,Approaching Target,Meeting Target,2.1,2.18,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.28,3,3,3,2,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 062 INOCENSIO CASANOVA,08X062,8,40.813875,-73.90019,"660 FOX ST BRONX, NY 10455",BRONX,10455,No,0.896,23837.79,0.11,0,0.2,0.77,0.96,0.03,0.91,0.35,0.89,Meeting Target,0.94,Exceeding Target,0.92,Meeting Target,0.86,Meeting Target,0.85,Meeting Target,0.95,Meeting Target,Meeting Target,2.15,2.35,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.5,3,4,3,3,3,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 069 JOURNEY PREP SCHOOL,08X069,8,40.816837,-73.860541,"560 THERIOT AVE BRONX, NY 10473",BRONX,10473,No,0.751,47598.42,0.08,0.02,0.16,0.8,0.96,0.01,0.93,0.22,0.94,Exceeding Target,0.86,Exceeding Target,0.92,Meeting Target,0.79,Meeting Target,0.81,Approaching Target,0.88,Meeting Target,Exceeding Target,2.72,3.02,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5.74,4,4,3,3,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 071 ROSE E. SCALA,08X071,8,40.845595,-73.829638,"3040 ROBERTS AVE BRONX, NY 10461",BRONX,10461,No,0.511,57078.08,0.07,0.07,0.04,0.62,0.66,0.26,0.93,0.22,0.93,Meeting Target,0.93,Exceeding Target,0.86,Meeting Target,0.91,Exceeding Target,0.79,Approaching Target,0.93,Exceeding Target,Exceeding Target,2.66,2.87,165,28,0,15,0,9,160,34,0,17,0,11,NA,NA,NA,NA,NA,NA,5.53,3,4,3,4,2,4,0.1696969696969697,0,0.5357142857142857,0,0.32142857142857145,1,0,0.5,0,0.3235294117647059,32
P.S. 072 DR. WILLIAM DORNEY,08X072,8,40.823158,-73.818136,"2951 DEWEY AVE BRONX, NY 10465",BRONX,10465,No,0.761,46642.64,0.05,0.03,0.19,0.72,0.92,0.05,0.91,0.35,0.91,Meeting Target,0.87,Exceeding Target,0.89,Meeting Target,0.79,Meeting Target,0.83,Meeting Target,0.91,Meeting Target,Meeting Target,2.33,2.44,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.77,3,4,3,3,3,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 75 SCHOOL OF RESEARCH AND DISCOVERY,08X075,8,40.82229,-73.88896,"984 FAILE ST BRONX, NY 10459",BRONX,10459,No,0.922,23987.16,0.13,0.01,0.26,0.71,0.97,0.01,0.91,0.36,0.93,Exceeding Target,0.92,Meeting Target,0.91,Meeting Target,0.83,Meeting Target,0.8,Approaching Target,0.93,Meeting Target,Meeting Target,2.24,2.34,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.58,4,3,3,3,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 093 ALBERT G. OLIVER,08X093,8,40.822513,-73.877255,"1535 STORY AVE BRONX, NY 10473",BRONX,10473,No,0.667,42885.01,0.09,0,0.57,0.4,0.97,0.02,0.93,0.28,0.96,Meeting Target,0.95,Meeting Target,0.95,Exceeding Target,0.87,Meeting Target,0.93,Exceeding Target,0.96,Exceeding Target,Approaching Target,2.26,2.32,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.58,3,3,4,3,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 100 ISAAC CLASON,08X100,8,40.82191,-73.862615,"800 TAYLOR AVE BRONX, NY 10473",BRONX,10473,No,0.86,27710.67,0.05,0.01,0.33,0.64,0.97,0.01,0.92,0.31,0.94,Meeting Target,0.95,Meeting Target,0.91,Meeting Target,0.91,Exceeding Target,0.82,Approaching Target,0.95,Meeting Target,Meeting Target,2.32,2.34,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.66,3,3,3,4,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M.S. X101 EDWARD R. BYRNE,08X101,8,40.827214,-73.829212,"2750 LAFAYETTE AVE BRONX, NY 10465",BRONX,10465,No,0.489,NA,0.01,0.14,0.1,0.56,0.66,0.2,0.95,0.15,0.89,Meeting Target,0.86,Meeting Target,0.88,Meeting Target,0.85,Meeting Target,0.73,Approaching Target,0.89,Meeting Target,Meeting Target,2.89,2.74,150,36,0,17,10,5,144,17,0,6,8,1,NA,NA,NA,NA,NA,NA,5.630000000000001,3,3,3,3,2,3,0.24,0,0.4722222222222222,0.2777777777777778,0.1388888888888889,1,0,0.35294117647058826,0.47058823529411764,0.058823529411764705,23
P.S. 107,08X107,8,40.818887,-73.868609,"1695 SEWARD AVE BRONX, NY 10473",BRONX,10473,No,0.913,27853.77,0.09,0.01,0.32,0.64,0.96,0.03,0.9,0.43,0.95,Meeting Target,0.93,Meeting Target,0.92,Meeting Target,0.84,Meeting Target,0.83,Approaching Target,0.92,Meeting Target,Meeting Target,2.21,2.24,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.45,3,3,3,3,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
THE DR. EMMETT W. BASSETT SCHOOL,08X119,8,40.828493,-73.856571,"1075 PUGSLEY AVE BRONX, NY 10472",BRONX,10472,No,0.8,39485.31,0.25,0.31,0.09,0.51,0.6,0.07,0.94,0.21,0.84,Approaching Target,0.89,Meeting Target,0.92,Meeting Target,0.83,Meeting Target,0.86,Meeting Target,0.94,Exceeding Target,Meeting Target,2.41,2.68,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5.09,2,3,3,3,3,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
J.H.S. 123 JAMES M. KIERAN,08X123,8,40.824884,-73.873517,"1025 MORRISON AVE BRONX, NY 10472",BRONX,10472,Yes,0.876,NA,0.24,0.01,0.21,0.78,0.99,0,0.91,0.28,0.67,Not Meeting Target,0.64,Not Meeting Target,0.78,Approaching Target,0.53,Not Meeting Target,0.71,Approaching Target,0.69,Not Meeting Target,Approaching Target,2.15,1.98,113,1,0,1,0,0,122,2,0,2,0,0,NA,NA,NA,NA,NA,NA,4.13,1,1,2,1,2,1,0.008849557522123894,0,1,0,0,1,0,1,0,0,3
J.H.S. 125 HENRY HUDSON,08X125,8,40.829414,-73.856783,"1111 PUGSLEY AVE BRONX, NY 10472",BRONX,10472,No,0.821,NA,0.23,0.2,0.17,0.54,0.71,0.07,0.9,0.33,0.89,Approaching Target,0.86,Approaching Target,0.84,Approaching Target,0.77,Meeting Target,0.78,Meeting Target,0.89,Meeting Target,Meeting Target,2.26,2.26,148,6,0,1,5,0,116,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.52,2,2,2,3,3,3,0.04054054054054054,0,0.16666666666666666,0.8333333333333334,0,NaN,NaN,NaN,NaN,NaN,1
P.S. 130 ABRAM STEVENS HEWITT,08X130,8,40.817778,-73.901831,"750 PROSPECT AVE BRONX, NY 10455",BRONX,10455,No,0.872,24977.29,0.23,0.02,0.23,0.73,0.96,0.02,0.92,0.27,0.95,Meeting Target,0.92,Meeting Target,0.93,Meeting Target,0.85,Meeting Target,0.86,Meeting Target,0.95,Exceeding Target,Meeting Target,2.07,2.22,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.29,3,3,3,3,3,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
J.H.S. 131 ALBERT EINSTEIN,08X131,8,40.823319,-73.860062,"885 BOLTON AVE BRONX, NY 10473",BRONX,10473,No,0.812,NA,0.08,0.03,0.35,0.6,0.96,0.01,0.91,0.34,0.79,Approaching Target,0.9,Exceeding Target,0.78,Approaching Target,0.84,Meeting Target,0.74,Approaching Target,0.87,Approaching Target,Meeting Target,2.24,2.07,200,7,3,4,0,0,172,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.3100000000000005,2,4,2,3,2,2,0.035,0.42857142857142855,0.5714285714285714,0,0,NaN,NaN,NaN,NaN,NaN,7
P.S. 138 SAMUEL RANDALL,08X138,8,40.822374,-73.852831,"2060 LAFAYETTE AVE BRONX, NY 10473",BRONX,10473,No,0.851,35635.81,0.04,0.02,0.26,0.7,0.95,0.01,0.89,0.42,0.94,Approaching Target,0.97,Exceeding Target,0.92,Approaching Target,0.86,Meeting Target,0.81,Approaching Target,0.95,Meeting Target,Approaching Target,2.32,2.39,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.71,2,4,2,3,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. X140 THE EAGLE SCHOOL,08X140,8,40.823374,-73.907378,"916 EAGLE AVE BRONX, NY 10456",BRONX,10456,No,0.875,26763.23,0.11,0,0.35,0.61,0.96,0.02,0.9,0.4,0.88,Approaching Target,0.82,Meeting Target,0.87,Approaching Target,0.76,Approaching Target,0.84,Meeting Target,0.88,Meeting Target,Meeting Target,2.16,2.36,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.52,2,3,2,2,3,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 146 EDWARD COLLINS,08X146,8,40.825125,-73.90592,"968 CAULDWELL AVE BRONX, NY 10456",BRONX,10456,No,0.911,25203.54,0.13,0.01,0.42,0.55,0.97,0,0.91,0.36,0.95,Meeting Target,0.9,Meeting Target,0.92,Meeting Target,0.82,Meeting Target,0.83,Approaching Target,0.89,Meeting Target,Approaching Target,2.25,2.27,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.52,3,3,3,3,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 152 EVERGREEN,08X152,8,40.823978,-73.880504,"1007 EVERGREEN AVE BRONX, NY 10472",BRONX,10472,No,0.913,28256.04,0.26,0.01,0.18,0.78,0.96,0.01,0.91,0.35,0.8,Approaching Target,0.83,Meeting Target,0.89,Meeting Target,0.73,Approaching Target,0.83,Approaching Target,0.85,Approaching Target,Meeting Target,2.19,2.39,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.58,2,3,3,2,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 182,08X182,8,40.818892,-73.856982,"601 STICKBALL BLVD BRONX, NY 10473",BRONX,10473,No,0.73,45924.94,0.04,0.08,0.28,0.62,0.9,0.02,0.92,0.32,0.85,Meeting Target,0.75,Meeting Target,0.82,Approaching Target,0.59,Not Meeting Target,0.8,Not Meeting Target,0.82,Approaching Target,Meeting Target,2.59,2.77,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5.359999999999999,3,3,2,1,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,08X269,8,40.820398,-73.892938,"928 SIMPSON ST BRONX, NY 10459",BRONX,10459,Yes,0.853,NA,0.14,0.01,0.22,0.76,0.98,0.01,0.92,0.29,0.81,Approaching Target,0.84,Meeting Target,0.79,Approaching Target,0.82,Meeting Target,0.75,Approaching Target,0.91,Meeting Target,Meeting Target,2.24,2.15,75,2,0,2,0,0,78,1,0,1,0,0,NA,NA,NA,NA,NA,NA,4.390000000000001,2,3,2,3,2,3,0.02666666666666667,0,1,0,0,1,0,1,0,0,3
M.S. 301 PAUL L. DUNBAR,08X301,8,40.822303,-73.906686,"890 CAULDWELL AVE BRONX, NY 10456",BRONX,10456,Yes,0.823,NA,0.22,0,0.41,0.57,0.98,0.01,0.88,0.45,0.84,Approaching Target,0.89,Meeting Target,0.87,Approaching Target,0.85,Meeting Target,0.8,Meeting Target,0.92,Meeting Target,Approaching Target,1.97,1.95,67,1,0,1,0,0,73,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3.92,2,3,2,3,3,3,0.014925373134328358,0,1,0,0,NaN,NaN,NaN,NaN,NaN,1
M.S. 302 LUISA DESSUS CRUZ,08X302,8,40.815971,-73.901686,"681 KELLY ST BRONX, NY 10455",BRONX,10455,No,0.906,NA,0.25,0.01,0.2,0.77,0.98,0.01,0.87,0.48,0.82,Approaching Target,0.84,Meeting Target,0.95,Meeting Target,0.76,Approaching Target,0.77,Approaching Target,0.92,Meeting Target,Meeting Target,2.22,2.17,161,11,0,9,0,0,164,12,0,11,0,0,NA,NA,NA,NA,NA,NA,4.390000000000001,2,3,3,2,2,3,0.06832298136645963,0,0.8181818181818182,0,0,1,0,0.9166666666666666,0,0,20
P.S. 304 EARLY CHILDHOOD SCHOOL,08X304,8,40.827214,-73.829212,"2750 LAFAYETTE AVE BRONX, NY 10465",BRONX,10465,No,0.388,67098.68,0.01,0.07,0.05,0.59,0.64,0.27,0.95,0.13,0.9,Meeting Target,0.94,Meeting Target,0.96,Exceeding Target,0.86,Exceeding Target,0.9,Meeting Target,0.98,Exceeding Target,Exceeding Target,2.94,3.1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6.04,3,3,4,4,3,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
